,time,KWH
654,2006/1/29 6:59,0
655,2006/1/29 7:59,0
656,2006/1/29 8:59,0
657,2006/1/29 9:59,0
658,2006/1/29 10:59,0
659,2006/1/29 11:59,0
660,2006/1/29 12:59,0
661,2006/1/29 13:59,0
662,2006/1/29 14:59,0
663,2006/1/29 15:59,0
664,2006/1/29 16:59,0
665,2006/1/29 17:59,0
666,2006/1/29 18:59,0
667,2006/1/29 19:59,0
668,2006/1/29 20:59,0
669,2006/1/29 21:59,0
670,2006/1/29 22:59,0
671,2006/1/29 23:59,0
672,2006/1/30 0:59,0
673,2006/1/30 1:59,0
674,2006/1/30 2:59,0
675,2006/1/30 3:59,0
676,2006/1/30 4:59,0
677,2006/1/30 5:59,0
678,2006/1/30 6:59,0
679,2006/1/30 7:59,0
680,2006/1/30 8:59,0
681,2006/1/30 9:59,0
682,2006/1/30 10:59,0
683,2006/1/30 11:59,0
684,2006/1/30 12:59,0
685,2006/1/30 13:59,0
686,2006/1/30 14:59,0
687,2006/1/30 15:59,0
688,2006/1/30 16:59,0
689,2006/1/30 17:59,0
690,2006/1/30 18:59,0
691,2006/1/30 19:59,0
692,2006/1/30 20:59,0
693,2006/1/30 21:59,0
694,2006/1/30 22:59,0
695,2006/1/30 23:59,0
696,2006/1/31 0:59,0
697,2006/1/31 1:59,0
698,2006/1/31 2:59,0
699,2006/1/31 3:59,0
700,2006/1/31 4:59,0
701,2006/1/31 5:59,0
702,2006/1/31 6:59,0
703,2006/1/31 7:59,0
704,2006/1/31 8:59,0
705,2006/1/31 9:59,0
706,2006/1/31 10:59,0
707,2006/1/31 11:59,0
708,2006/1/31 12:59,0
709,2006/1/31 13:59,0
710,2006/1/31 14:59,0
711,2006/1/31 15:59,0
712,2006/1/31 16:59,0
713,2006/1/31 17:59,0
714,2006/1/31 18:59,0
715,2006/1/31 19:59,0
716,2006/1/31 20:59,0
717,2006/1/31 21:59,0
718,2006/1/31 22:59,0
719,2006/1/31 23:59,0
720,2006/2/2 0:59,0
721,2006/2/2 1:59,0
722,2006/2/2 2:59,0
723,2006/2/2 3:59,0
724,2006/2/2 4:59,0
725,2006/2/2 5:59,0
726,2006/2/2 6:59,0
727,2006/2/2 7:59,0
728,2006/2/2 8:59,0
729,2006/2/2 9:59,0
730,2006/2/2 10:59,0
731,2006/2/2 11:59,0
732,2006/2/2 12:59,0
733,2006/2/2 13:59,0
734,2006/2/2 14:59,0
735,2006/2/2 15:59,0
736,2006/2/2 16:59,0
737,2006/2/2 17:59,0
738,2006/2/2 18:59,0
739,2006/2/2 19:59,0
740,2006/2/2 20:59,0
741,2006/2/2 21:59,0
742,2006/2/2 22:59,0
743,2006/2/2 23:59,0
744,2006/2/3 0:59,0
745,2006/2/3 1:59,0
746,2006/2/3 2:59,0
747,2006/2/3 3:59,0
748,2006/2/3 4:59,0
749,2006/2/3 5:59,0
750,2006/2/3 6:59,0
751,2006/2/3 7:59,0
752,2006/2/3 8:59,0
753,2006/2/3 9:59,0
754,2006/2/3 10:59,0
755,2006/2/3 11:59,0
756,2006/2/3 12:59,18.75
757,2006/2/3 13:59,65.25
758,2006/2/3 14:59,74.75
759,2006/2/3 15:59,95.25
760,2006/2/3 16:59,24
761,2006/2/3 17:59,46.75
762,2006/2/3 18:59,49.75
763,2006/2/3 19:59,48
764,2006/2/3 20:59,15.25
765,2006/2/3 21:59,15
766,2006/2/3 22:59,33.5
767,2006/2/3 23:59,30
768,2006/2/4 0:59,14.75
769,2006/2/4 1:59,19.5
770,2006/2/4 2:59,15.75
771,2006/2/4 3:59,30
772,2006/2/4 4:59,31.25
773,2006/2/4 5:59,33.25
774,2006/2/4 6:59,48.75
775,2006/2/4 7:59,38.5
776,2006/2/4 8:59,25.75
777,2006/2/4 9:59,54.5
778,2006/2/4 10:59,89.75
779,2006/2/4 11:59,122
780,2006/2/4 12:59,95.25
781,2006/2/4 13:59,53.5
782,2006/2/4 14:59,76
783,2006/2/4 15:59,52.25
784,2006/2/4 16:59,51.25
785,2006/2/4 17:59,85.25
786,2006/2/4 18:59,99.25
787,2006/2/4 19:59,47
788,2006/2/4 20:59,56.5
789,2006/2/4 21:59,17.75
790,2006/2/4 22:59,62.25
791,2006/2/4 23:59,36.75
792,2006/2/5 0:59,17
793,2006/2/5 1:59,34.25
794,2006/2/5 2:59,33.5
795,2006/2/5 3:59,18.25
796,2006/2/5 4:59,34.75
797,2006/2/5 5:59,40.5
798,2006/2/5 6:59,38.5
799,2006/2/5 7:59,0
800,2006/2/5 8:59,100.75
801,2006/2/5 9:59,155
802,2006/2/5 10:59,121.25
803,2006/2/5 11:59,148.25
804,2006/2/5 12:59,81
805,2006/2/5 13:59,33.5
806,2006/2/5 14:59,130
807,2006/2/5 15:59,135
808,2006/2/5 16:59,66.5
809,2006/2/5 17:59,138
810,2006/2/5 18:59,71.25
811,2006/2/5 19:59,92.25
812,2006/2/5 20:59,50.75
813,2006/2/5 21:59,49
814,2006/2/5 22:59,28.25
815,2006/2/5 23:59,47.5
816,2006/2/6 0:59,97.25
817,2006/2/6 1:59,88.75
818,2006/2/6 2:59,89.75
819,2006/2/6 3:59,22.75
820,2006/2/6 4:59,51.75
821,2006/2/6 5:59,75.5
822,2006/2/6 6:59,46.25
823,2006/2/6 7:59,57.5
824,2006/2/6 8:59,138.5
825,2006/2/6 9:59,201.75
826,2006/2/6 10:59,211.25
827,2006/2/6 11:59,285
828,2006/2/6 12:59,1052.75
829,2006/2/6 13:59,1395
830,2006/2/6 14:59,2300
831,2006/2/6 15:59,2610
832,2006/2/6 16:59,2695
833,2006/2/6 17:59,2657.5
834,2006/2/6 18:59,2620
835,2006/2/6 19:59,2462.5
836,2006/2/6 20:59,2492.5
837,2006/2/6 21:59,2707.5
838,2006/2/6 22:59,2905
839,2006/2/6 23:59,2835
840,2006/2/7 0:59,2780
841,2006/2/7 1:59,2695
842,2006/2/7 2:59,2642.5
843,2006/2/7 3:59,2642.5
844,2006/2/7 4:59,2622.5
845,2006/2/7 5:59,2650
846,2006/2/7 6:59,2952.5
847,2006/2/7 7:59,3077.5
848,2006/2/7 8:59,3182.5
849,2006/2/7 9:59,3140
850,2006/2/7 10:59,2960
851,2006/2/7 11:59,2907.5
852,2006/2/7 12:59,2825
853,2006/2/7 13:59,2952.5
854,2006/2/7 14:59,3160
855,2006/2/7 15:59,3120
856,2006/2/7 16:59,3082.5
857,2006/2/7 17:59,0
858,2006/2/7 18:59,0
